Team,Continent,Wins,Draws,Losses,Goals,Total Games,Average Goals,Win Rate
Bolivia,South America,64,73,148,298,285,1.0456140350877192,22.45614035087719
Uruguay,South America,154,76,103,504,333,1.5135135135135136,46.246246246246244
Brazil,South America,301,76,56,954,433,2.203233256351039,69.5150115473441
Mexico,South America,272,106,139,858,517,1.6595744680851063,52.61121856866537
Ecuador,South America,127,81,127,437,335,1.3044776119402985,37.91044776119403
Venezuela,South America,84,70,151,320,305,1.0491803278688525,27.54098360655738
Guinea,Africa,102,62,96,357,260,1.373076923076923,39.23076923076923
Sierra Leone,Africa,45,36,69,134,150,0.8933333333333333,30.0
Paraguay,South America,118,92,127,387,337,1.1483679525222552,35.01483679525222
Argentina,South America,216,79,72,657,367,1.7901907356948228,58.855585831062676
Peru,South America,108,73,132,354,313,1.1309904153354633,34.504792332268366
Colombia,South America,167,93,103,476,363,1.3112947658402203,46.005509641873275
Zimbabwe,Africa,131,74,109,406,314,1.2929936305732483,41.71974522292994
Eswatini,Africa,48,56,101,173,205,0.8439024390243902,23.414634146341466
Faroe Islands,Europe,32,24,138,142,194,0.7319587628865979,16.49484536082474
Norway,Europe,147,83,89,471,319,1.4764890282131662,46.08150470219436
Sweden,Europe,184,89,106,578,379,1.525065963060686,48.54881266490765
Switzerland,Europe,137,70,92,464,299,1.5518394648829432,45.819397993311036
Australia,Oceania,162,63,82,629,307,2.04885993485342,52.76872964169381
Canada,Oceania,92,51,92,311,235,1.323404255319149,39.148936170212764
Congo,Africa,56,55,77,185,188,0.9840425531914894,29.78723404255319
France,Europe,230,83,57,670,370,1.8108108108108107,62.16216216216216
Austria,Europe,108,58,100,405,266,1.5225563909774436,40.6015037593985
Finland,Europe,115,69,134,380,318,1.1949685534591195,36.16352201257861
Denmark,Europe,158,73,79,504,310,1.6258064516129032,50.967741935483865
Lithuania,Europe,75,48,154,259,277,0.9350180505415162,27.075812274368232
Iceland,Europe,99,64,130,363,293,1.2389078498293515,33.78839590443686
USA,Europe,242,91,131,761,464,1.6400862068965518,52.1551724137931
Estonia,Europe,93,78,195,317,366,0.8661202185792349,25.40983606557377
