Year,Team,Continent,Wins,Draws,Losses,Goals,Total Games,Average Goals,Win Rate
1993,Albania,Europe,0,0,2,1,2,0.5,0.0
1993,Algeria,Africa,0,1,0,1,1,1.0,0.0
1993,Argentina,South America,4,2,2,10,8,1.25,50.0
1993,Australia,Oceania,1,2,2,4,5,0.8,20.0
1993,Austria,Europe,1,2,1,6,4,1.5,25.0
1993,Bangladesh,Asia,1,0,0,3,1,3.0,100.0
1993,Belgium,Europe,1,0,1,3,2,1.5,50.0
1993,Bolivia,South America,3,1,2,13,6,2.1666666666666665,50.0
1993,Brazil,South America,5,2,1,18,8,2.25,62.5
1993,Bulgaria,Europe,2,1,0,7,3,2.3333333333333335,66.66666666666666
1993,Burundi,Africa,0,0,1,0,1,0.0,0.0
1993,Cameroon,Africa,1,0,1,3,2,1.5,50.0
1993,Canada,North America,0,0,1,1,1,1.0,0.0
1993,Cayman Islands,North America,0,0,1,1,1,1.0,0.0
1993,Chile,South America,0,0,1,0,1,0.0,0.0
1993,China PR,Asia,0,0,1,0,1,0.0,0.0
1993,Colombia,South America,4,1,0,13,5,2.6,80.0
1993,Congo,Africa,0,1,0,0,1,0.0,0.0
1993,Costa Rica,North America,1,0,1,4,2,2.0,50.0
1993,Cyprus,Europe,0,1,1,2,2,1.0,0.0
1993,Côte d'Ivoire,Africa,1,0,2,2,3,0.6666666666666666,33.33333333333333
1993,Denmark,Europe,3,0,1,6,4,1.5,75.0
1993,Ecuador,South America,1,1,4,7,6,1.1666666666666667,16.666666666666664
1993,Egypt,Africa,1,1,1,4,3,1.3333333333333333,33.33333333333333
1993,El Salvador,North America,0,0,1,0,1,0.0,0.0
1993,England,Europe,2,0,1,10,3,3.3333333333333335,66.66666666666666
1993,Estonia,Europe,1,0,4,2,5,0.4,20.0
1993,Eswatini,Africa,0,0,2,0,2,0.0,0.0
1993,Faroe Islands,Europe,0,0,2,0,2,0.0,0.0
1993,Fiji,Oceania,0,0,1,0,1,0.0,0.0
1993,Finland,Europe,1,0,3,5,4,1.25,25.0
1993,France,Europe,1,1,2,6,4,1.5,25.0
1993,Gabon,Africa,0,0,4,2,4,0.5,0.0
1993,Gambia,Africa,3,1,2,10,6,1.6666666666666667,50.0
1993,Germany,Europe,3,2,1,12,6,2.0,50.0
1993,Ghana,Africa,2,2,1,5,5,1.0,40.0
1993,Greece,Europe,2,0,0,4,2,2.0,100.0
1993,Guinea,Africa,3,2,3,7,8,0.875,37.5
1993,Guinea-Bissau,Africa,1,1,1,1,3,0.3333333333333333,33.33333333333333
1993,Hungary,Europe,1,0,1,2,2,1.0,50.0
1993,IR Iran,Asia,2,0,3,8,5,1.6,40.0
1993,Iceland,Europe,1,0,2,2,3,0.6666666666666666,33.33333333333333
1993,Iraq,Asia,1,3,1,9,5,1.8,20.0
1993,Israel,Europe,1,2,2,7,5,1.4,20.0
1993,Italy,Europe,3,0,0,7,3,2.3333333333333335,100.0
1993,Jamaica,North America,0,0,1,0,1,0.0,0.0
1993,Japan,Asia,3,2,1,8,6,1.3333333333333333,50.0
1993,Jordan,Asia,1,0,1,3,2,1.5,50.0
1993,Kenya,Africa,2,0,0,4,2,2.0,100.0
1993,Korea DPR,Asia,1,0,4,5,5,1.0,20.0
1993,Korea Republic,Asia,3,3,1,11,7,1.5714285714285714,42.857142857142854
1993,Latvia,Europe,0,0,1,0,1,0.0,0.0
1993,Liechtenstein,Europe,0,0,1,0,1,0.0,0.0
1993,Lithuania,Europe,0,0,2,0,2,0.0,0.0
1993,Luxembourg,Europe,0,0,3,1,3,0.3333333333333333,0.0
1993,Mali,Africa,2,1,4,4,7,0.5714285714285714,28.57142857142857
1993,Malta,Europe,1,0,2,2,3,0.6666666666666666,33.33333333333333
1993,Mauritania,Africa,1,1,2,4,4,1.0,25.0
1993,Mexico,North America,4,4,1,12,9,1.3333333333333333,44.44444444444444
1993,Morocco,Africa,3,0,0,5,3,1.6666666666666667,100.0
1993,Myanmar,Asia,0,0,1,1,1,1.0,0.0
1993,Netherlands,Europe,3,0,0,12,3,4.0,100.0
1993,Nigeria,Africa,1,1,0,5,2,2.5,50.0
1993,Northern Ireland,Europe,1,1,1,3,3,1.0,33.33333333333333
1993,Norway,Europe,4,0,1,13,5,2.6,80.0
1993,Paraguay,South America,0,3,1,4,4,1.0,0.0
1993,Peru,South America,0,1,3,3,4,0.75,0.0
1993,Poland,Europe,0,1,5,2,6,0.3333333333333333,0.0
1993,Portugal,Europe,3,0,1,6,4,1.5,75.0
1993,Republic of Ireland,Europe,1,1,1,4,3,1.3333333333333333,33.33333333333333
1993,Romania,Europe,4,0,0,9,4,2.25,100.0
1993,Russia,Europe,1,0,2,5,3,1.6666666666666667,33.33333333333333
1993,San Marino,Europe,0,0,2,1,2,0.5,0.0
1993,Saudi Arabia,Asia,6,3,1,23,10,2.3,60.0
1993,Scotland,Europe,1,1,1,4,3,1.3333333333333333,33.33333333333333
1993,Senegal,Africa,2,1,4,6,7,0.8571428571428571,28.57142857142857
1993,Sierra Leone,Africa,2,2,3,8,7,1.1428571428571428,28.57142857142857
1993,South Africa,Africa,0,0,1,0,1,0.0,0.0
1993,Spain,Europe,4,0,0,11,4,2.75,100.0
1993,Sweden,Europe,1,3,1,7,5,1.4,20.0
1993,Switzerland,Europe,2,1,1,7,4,1.75,50.0
1993,Tahiti,Oceania,1,0,0,3,1,3.0,100.0
1993,Tanzania,Africa,1,0,1,2,2,1.0,50.0
1993,Thailand,Asia,0,0,2,0,2,0.0,0.0
1993,Tunisia,Africa,3,2,0,11,5,2.2,60.0
1993,Turkey,Europe,2,0,0,4,2,2.0,100.0
