year,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result
1993,Bolivia,Uruguay,South America,South America,59,22,3,1,FIFA World Cup qualification,La Paz,Bolivia,False,No,Win
1993,Brazil,Mexico,South America,North America,8,14,1,1,Friendly,Maceió,Brazil,False,No,Draw
1993,Ecuador,Venezuela,South America,South America,35,94,5,0,FIFA World Cup qualification,Quito,Ecuador,False,No,Win
1993,Guinea,Sierra Leone,Africa,Africa,65,86,1,0,Friendly,Conakry,Guinea,False,No,Win
1993,Paraguay,Argentina,South America,South America,67,5,1,3,FIFA World Cup qualification,Asunción,Paraguay,False,No,Lose
1993,Peru,Colombia,South America,South America,70,19,0,1,FIFA World Cup qualification,Lima,Peru,False,No,Lose
1993,Zimbabwe,Eswatini,Africa,Africa,50,102,2,0,Friendly,Harare,Zimbabwe,False,No,Win
1993,Guinea,Sierra Leone,Africa,Africa,65,86,4,0,Friendly,Conakry,Guinea,False,No,Win
1993,Faroe Islands,Norway,Europe,Europe,111,9,0,7,Friendly,Toftir,Faroe Islands,False,No,Lose
1993,Sweden,Switzerland,Europe,Europe,4,3,1,2,Friendly,Borås,Sweden,False,No,Lose
1993,Australia,Canada,Oceania,North America,52,46,2,1,FIFA World Cup qualification,Sydney,Australia,False,Yes,Win
1993,Bolivia,Ecuador,South America,South America,59,35,1,0,FIFA World Cup qualification,La Paz,Bolivia,False,No,Win
1993,Colombia,Argentina,South America,South America,19,5,2,1,FIFA World Cup qualification,Barranquilla,Colombia,False,No,Win
1993,Congo,Guinea,Africa,Africa,107,65,0,0,African Cup of Nations qualification,Pointe-Noire,Congo,False,No,Draw
1993,Uruguay,Brazil,South America,South America,22,8,1,1,FIFA World Cup qualification,Montevideo,Uruguay,False,No,Draw
1993,Argentina,Peru,South America,South America,5,70,2,1,FIFA World Cup qualification,Buenos Aires,Argentina,False,No,Win
1993,Bolivia,Venezuela,South America,South America,59,94,7,0,FIFA World Cup qualification,La Paz,Bolivia,False,No,Win
1993,Brazil,Ecuador,South America,South America,8,35,2,0,FIFA World Cup qualification,São Paulo,Brazil,False,No,Win
1993,Paraguay,Colombia,South America,South America,67,19,1,1,FIFA World Cup qualification,Asunción,Paraguay,False,No,Draw
1993,Sweden,France,Europe,Europe,4,12,1,1,FIFA World Cup qualification,Solna,Sweden,False,No,Draw
1993,Austria,Finland,Europe,Europe,38,47,3,0,FIFA World Cup qualification,Vienna,Austria,False,No,Win
1993,Denmark,Lithuania,Europe,Europe,10,84,4,0,FIFA World Cup qualification,Copenhagen,Denmark,False,No,Win
1993,Argentina,Paraguay,South America,South America,5,67,0,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,No,Draw
1993,Brazil,Bolivia,South America,South America,8,59,6,0,FIFA World Cup qualification,Recife,Brazil,False,No,Win
1993,Colombia,Peru,South America,South America,19,70,4,0,FIFA World Cup qualification,Barranquilla,Colombia,False,No,Win
1993,Uruguay,Venezuela,South America,South America,22,94,4,0,FIFA World Cup qualification,Montevideo,Uruguay,False,No,Win
1993,Iceland,USA,Europe,North America,53,28,0,1,Friendly,Reykjavík,Iceland,False,No,Lose
1993,Argentina,Colombia,South America,South America,5,19,0,5,FIFA World Cup qualification,Buenos Aires,Argentina,False,No,Lose
1993,Brazil,Venezuela,South America,South America,8,94,4,0,FIFA World Cup qualification,Belo Horizonte,Brazil,False,No,Win
1993,Ecuador,Uruguay,South America,South America,35,22,0,1,FIFA World Cup qualification,Guayaquil,Ecuador,False,No,Lose
1993,Estonia,Portugal,Europe,Europe,118,23,0,2,FIFA World Cup qualification,Tallinn,Estonia,False,No,Lose
1993,Peru,Paraguay,South America,South America,70,67,2,2,FIFA World Cup qualification,Lima,Peru,False,No,Draw
1993,Eswatini,Zimbabwe,Africa,Africa,102,50,0,1,Friendly,Mbabane,Eswatini,False,No,Lose
1993,Albania,Denmark,Europe,Europe,92,10,0,1,FIFA World Cup qualification,Tirana,Albania,False,No,Lose
1993,Bulgaria,Sweden,Europe,Europe,37,4,1,1,FIFA World Cup qualification,Sofia,Bulgaria,False,No,Draw
1993,England,Poland,Europe,Europe,11,20,3,0,FIFA World Cup qualification,London,England,False,No,Win
1993,Faroe Islands,Romania,Europe,Europe,111,21,0,4,FIFA World Cup qualification,Toftir,Faroe Islands,False,No,Lose
1993,Finland,France,Europe,Europe,47,12,0,2,FIFA World Cup qualification,Tampere,Finland,False,No,Lose
1993,Hungary,Russia,Europe,Europe,42,7,1,3,FIFA World Cup qualification,Budapest,Hungary,False,No,Lose
1993,Iceland,Luxembourg,Europe,Europe,53,110,1,0,FIFA World Cup qualification,Reykjavík,Iceland,False,No,Win
1993,Republic of Ireland,Lithuania,Europe,Europe,6,84,2,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,No,Win
1993,Northern Ireland,Latvia,Europe,Europe,40,89,2,0,FIFA World Cup qualification,Belfast,Northern Ireland,False,No,Win
1993,Norway,USA,Europe,North America,9,28,1,0,Friendly,Oslo,Norway,False,No,Win
1993,Scotland,Switzerland,Europe,Europe,30,3,1,1,FIFA World Cup qualification,Aberdeen,Scotland,False,No,Draw
1993,Spain,Chile,Europe,South America,13,49,2,0,Friendly,Alicante,Spain,False,No,Win
1993,Uruguay,Bolivia,South America,South America,22,59,2,1,FIFA World Cup qualification,Montevideo,Uruguay,False,No,Win
1993,Venezuela,Ecuador,South America,South America,94,35,2,1,FIFA World Cup qualification,Puerto Ordaz,Venezuela,False,No,Win
1993,Morocco,Mali,Africa,Africa,33,74,3,0,Friendly,Casablanca,Morocco,False,No,Win
1993,Saudi Arabia,Thailand,Asia,Asia,44,66,4,0,Friendly,Dammam,Saudi Arabia,False,No,Win
1993,Brazil,Uruguay,South America,South America,8,22,2,0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False,No,Win
1993,Ecuador,Bolivia,South America,South America,35,59,1,1,FIFA World Cup qualification,Guayaquil,Ecuador,False,No,Draw
1993,Zimbabwe,Senegal,Africa,Africa,50,58,2,0,Friendly,Harare,Zimbabwe,False,No,Win
1993,Saudi Arabia,Thailand,Asia,Asia,44,66,3,0,Friendly,Dammam,Saudi Arabia,False,No,Win
1993,Albania,Spain,Europe,Europe,92,13,1,5,FIFA World Cup qualification,Tirana,Albania,False,No,Lose
1993,Estonia,Italy,Europe,Europe,118,2,0,3,FIFA World Cup qualification,Tallinn,Estonia,False,No,Lose
1993,Mexico,Cameroon,North America,Africa,14,24,1,0,Friendly,Los Angeles,USA,True,No,Win
1993,Norway,Poland,Europe,Europe,9,20,1,0,FIFA World Cup qualification,Oslo,Norway,False,No,Win
1993,Romania,Israel,Europe,Europe,21,69,1,0,Friendly,Bucharest,Romania,False,No,Win
1993,San Marino,Netherlands,Europe,Europe,119,16,0,7,FIFA World Cup qualification,Bologna,Italy,True,No,Lose
1993,Tunisia,Germany,Africa,Europe,31,1,1,1,Friendly,Tunis,Tunisia,False,No,Draw
1993,Saudi Arabia,Costa Rica,Asia,North America,44,38,1,2,Friendly,Khobar,Saudi Arabia,False,No,Lose
1993,Korea Republic,Australia,Asia,Oceania,36,65,1,1,Friendly,Seoul,Korea Republic,False,No,Draw
1993,Nigeria,Côte d'Ivoire,Africa,Africa,18,31,4,1,FIFA World Cup qualification,Lagos,Nigeria,False,No,Win
1993,Korea Republic,Australia,Asia,Oceania,36,65,1,0,Friendly,Seoul,Korea Republic,False,No,Win
1993,Zambia,Senegal,Africa,Africa,27,57,4,0,FIFA World Cup qualification,Lusaka,Zambia,False,No,Win
1993,Zimbabwe,Guinea,Africa,Africa,47,60,1,0,FIFA World Cup qualification,Harare,Zimbabwe,False,No,Win
1993,Saudi Arabia,Costa Rica,Asia,North America,44,38,3,2,Friendly,Khobar,Saudi Arabia,False,No,Win
1993,Mexico,Poland,North America,Europe,16,22,0,0,Friendly,Oakland,USA,True,No,Draw
1993,Morocco,Gabon,Africa,Africa,32,51,1,0,Friendly,Rabat,Morocco,False,No,Win
1993,Japan,Côte d'Ivoire,Asia,Africa,43,31,1,0,Friendly,Tokyo,Japan,False,No,Win
1993,Cyprus,Israel,Europe,Europe,74,71,2,2,Friendly,Limassol,Cyprus,False,No,Draw
1993,Belgium,Gabon,Europe,Africa,24,51,2,1,Friendly,Brussels,Belgium,False,No,Win
1993,Mexico,South Africa,North America,Africa,16,95,4,0,Friendly,Los Angeles,USA,True,No,Win
1993,Saudi Arabia,Russia,Asia,Europe,44,8,4,2,Friendly,Khobar,Saudi Arabia,False,No,Win
1993,Algeria,Nigeria,Africa,Africa,30,18,1,1,FIFA World Cup qualification,Algiers,Algeria,False,No,Draw
1993,Cameroon,Zimbabwe,Africa,Africa,23,47,3,1,FIFA World Cup qualification,Yaoundé,Cameroon,False,No,Win
1993,Morocco,Zambia,Africa,Africa,32,27,1,0,FIFA World Cup qualification,Casablanca,Morocco,False,No,Win
1993,Luxembourg,Greece,Europe,Europe,110,35,1,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False,No,Lose
